date,home_team,visitor_team,home_team_score,visitor_team_score
2015-10-27,ATL,DET,94,106
2015-10-27,GSW,NOP,111,95
2015-10-27,CHI,CLE,97,95
2015-10-28,BOS,PHI,112,95
2015-10-28,MIA,CHA,104,94
2015-10-28,OKC,SAS,112,106
2015-10-28,SAC,LAC,104,111
2015-10-28,ORL,WAS,87,88
2015-10-28,TOR,IND,106,99
2015-10-28,POR,NOP,112,94
2015-10-28,HOU,DEN,85,105
2015-10-28,MIL,NYK,97,122
2015-10-28,PHX,DAL,95,111
2015-10-28,BKN,CHI,100,115
2015-10-28,DET,UTA,92,87
2015-10-28,MEM,CLE,76,106
2015-10-28,LAL,MIN,111,112
2015-10-29,LAC,DAL,104,88
2015-10-29,IND,MEM,103,112
2015-10-29,NYK,ATL,101,112
2015-10-30,BOS,TOR,103,113
2015-10-30,SAS,BKN,102,75
2015-10-30,MIL,WAS,113,118
2015-10-30,DEN,MIN,78,95
2015-10-30,ATL,CHA,97,94
2015-10-30,PHI,UTA,71,99
2015-10-30,ORL,OKC,136,139
2015-10-30,PHX,POR,110,92
2015-10-30,CLE,MIA,102,92
2015-10-30,SAC,LAL,132,114
2015-10-30,HOU,GSW,92,112
2015-10-30,DET,CHI,98,94
2015-10-31,POR,PHX,90,101
2015-10-31,LAC,SAC,114,109
2015-10-31,WAS,NYK,110,117
2015-10-31,NOP,GSW,120,134
2015-10-31,IND,UTA,76,97
2015-10-31,MEM,BKN,101,91
2015-11-01,LAL,DAL,93,103
2015-11-01,CHA,ATL,92,94
2015-11-01,BOS,SAS,87,95
2015-11-01,OKC,DEN,117,93
2015-11-01,TOR,MIL,106,87
2015-11-01,CHI,ORL,92,87
2015-11-01,MIA,HOU,109,89
2015-11-02,NYK,SAS,84,94
2015-11-02,LAC,PHX,102,96
2015-11-02,PHI,CLE,100,107
2015-11-02,GSW,MEM,119,69
2015-11-02,BKN,MIL,96,103
2015-11-02,MIN,POR,101,106
2015-11-02,HOU,OKC,110,105
