date,home_team,visitor_team,home_team_score,visitor_team_score
2022-10-18,BOS,PHI,126,117
2022-10-18,GSW,LAL,123,109
2022-10-19,MIN,OKC,115,108
2022-10-19,SAC,POR,108,115
2022-10-19,UTA,DEN,123,102
2022-10-19,PHX,DAL,107,105
2022-10-19,BKN,NOP,108,130
2022-10-19,MIA,CHI,108,116
2022-10-19,ATL,HOU,117,107
2022-10-19,TOR,CLE,108,105
2022-10-19,IND,WAS,107,114
2022-10-19,DET,ORL,113,109
2022-10-19,MEM,NYK,115,112
2022-10-19,SAS,CHA,102,129
2022-10-20,LAL,LAC,97,103
2022-10-20,PHI,MIL,88,90
2022-10-21,POR,PHX,113,111
2022-10-21,WAS,CHI,102,100
2022-10-21,HOU,MEM,122,129
2022-10-21,IND,SAS,134,137
2022-10-21,CHA,NOP,112,124
2022-10-21,BKN,TOR,109,105
2022-10-21,ATL,ORL,108,98
2022-10-21,MIA,BOS,104,111
2022-10-21,MIN,UTA,126,132
2022-10-21,GSW,DEN,123,128
2022-10-21,NYK,DET,130,106
2022-10-22,DEN,OKC,122,117
2022-10-22,ORL,BOS,120,126
2022-10-22,PHI,SAS,105,114
2022-10-22,MIL,HOU,125,105
2022-10-22,CHI,CLE,96,128
2022-10-22,DAL,MEM,137,96
2022-10-22,IND,DET,124,115
2022-10-22,SAC,LAC,109,111
2022-10-22,MIA,TOR,112,109
2022-10-23,LAL,POR,104,106
2022-10-23,OKC,MIN,106,116
2022-10-23,NOP,UTA,121,122
2022-10-23,ATL,CHA,109,126
2022-10-23,GSW,SAC,130,125
2022-10-23,LAC,PHX,95,112
2022-10-23,CLE,WAS,117,107
2022-10-24,MIN,SAS,106,115
2022-10-24,HOU,UTA,114,108
2022-10-24,MIA,TOR,90,98
2022-10-24,NYK,ORL,115,102
2022-10-24,PHI,IND,120,106
2022-10-24,MEM,BKN,134,124
2022-10-24,CHI,BOS,120,102
2022-10-24,POR,DEN,135,110
2022-10-25,OKC,LAC,108,94
2022-10-25,NOP,DAL,113,111
2022-10-25,PHX,GSW,134,105
2022-10-25,WAS,DET,120,99
2022-10-26,CHI,IND,124,109
2022-10-26,CLE,ORL,103,92
