date,home_team,visitor_team,home_team_score,visitor_team_score
2021-08-03,MIA,LAL,80,78
2021-08-03,SAC,GSW,82,89
2021-08-04,SAC,LAL,74,84
2021-08-04,GSW,MIA,87,94
2021-08-06,MEM,SAS,82,77
2021-08-08,NYK,TOR,79,89
2021-08-08,ATL,BOS,83,85
2021-08-08,CLE,HOU,76,84
2021-08-08,CHA,POR,86,93
2021-08-08,DET,OKC,72,76
2021-08-08,PHX,LAL,72,73
2021-08-08,MIA,DEN,97,77
2021-08-09,SAC,CHA,80,70
2021-08-09,MIN,SAS,91,89
2021-08-09,MIL,LAC,81,78
2021-08-09,UTA,PHX,63,57
2021-08-09,CHI,NOP,77,94
2021-08-09,GSW,ORL,89,91
2021-08-09,MEM,BKN,91,84
2021-08-09,PHI,DAL,95,73
2021-08-09,NYK,IND,94,86
2021-08-10,HOU,DET,111,91
2021-08-10,WAS,SAC,75,89
2021-08-10,POR,LAC,86,66
2021-08-10,DEN,BOS,82,107
2021-08-10,IND,ATL,83,84
2021-08-10,SAS,CHI,89,92
2021-08-11,BKN,MIL,97,91
2021-08-11,DAL,UTA,80,81
2021-08-11,LAL,NYK,82,91
2021-08-11,NOP,OKC,80,65
2021-08-11,ORL,CLE,84,94
2021-08-11,GSW,TOR,90,84
2021-08-11,MEM,MIA,94,97
2021-08-12,DEN,PHX,84,90
2021-08-12,ATL,PHI,88,96
2021-08-12,BOS,ORL,108,71
2021-08-12,TOR,HOU,92,76
2021-08-12,CHA,SAS,105,106
2021-08-12,BKN,WAS,84,81
2021-08-12,POR,IND,64,97
2021-08-12,MIN,CHI,78,59
2021-08-13,CLE,NOP,74,87
2021-08-13,LAC,LAL,84,86
2021-08-13,MIL,MIN,64,91
2021-08-13,UTA,MIA,84,65
2021-08-13,OKC,GSW,84,94
2021-08-13,DET,NYK,93,87
2021-08-13,SAC,MEM,90,75
2021-08-14,TOR,CHA,80,79
2021-08-14,DAL,DEN,85,89
2021-08-14,OKC,IND,61,95
2021-08-14,LAL,DET,86,103
2021-08-14,BOS,PHI,100,80
2021-08-14,PHX,POR,79,70
2021-08-14,MIA,ATL,90,94
2021-08-14,NYK,CLE,103,94
2021-08-15,SAS,BKN,100,104
2021-08-15,LAC,UTA,94,90
2021-08-15,SAC,DAL,86,70
2021-08-15,WAS,MIL,93,83
2021-08-15,NOP,GSW,80,79
2021-08-15,HOU,ORL,76,89
2021-08-15,CHI,MEM,91,96
2021-08-15,PHI,MIN,96,99
2021-08-16,ORL,DET,78,79
2021-08-16,LAC,MEM,95,104
2021-08-16,DEN,MIL,94,87
2021-08-16,NYK,ATL,104,85
2021-08-16,PHX,CLE,85,88
2021-08-16,OKC,SAS,116,91
2021-08-16,WAS,IND,65,74
2021-08-16,CHI,CHA,99,74
2021-08-17,BOS,SAC,67,100
2021-08-17,MIN,NOP,59,87
2021-08-17,PHI,UTA,103,98
2021-08-17,GSW,LAL,76,84
2021-08-17,POR,HOU,92,95
2021-08-17,TOR,BKN,86,72
2021-08-17,MIA,DAL,82,83
2021-10-04,TOR,PHI,123,107
2021-10-04,BOS,ORL,98,97
2021-10-04,MIA,ATL,125,99
2021-10-04,MIN,NOP,117,114
2021-10-04,OKC,CHA,97,113
2021-10-04,SAC,PHX,117,106
2021-10-04,SAS,UTA,111,85
2021-10-04,POR,GSW,107,121
2021-10-04,LAC,DEN,103,102
2021-10-05,MEM,MIL,87,77
2021-10-05,HOU,WAS,125,119
2021-10-05,NYK,IND,125,104
2021-10-05,CHI,CLE,131,95
2021-10-19,LAL,GSW,114,121
2021-10-19,MIL,BKN,127,104
2021-10-20,CHA,IND,123,122
2021-10-20,DET,CHI,88,94
2021-10-20,NYK,BOS,138,134
2021-10-20,MEM,CLE,132,121
2021-10-20,NOP,PHI,97,117
2021-10-20,PHX,DEN,98,110
2021-10-20,POR,SAC,121,124
2021-10-20,TOR,WAS,83,98
2021-10-20,SAS,ORL,123,97
2021-10-20,UTA,OKC,107,86
2021-10-20,MIN,HOU,124,106
2021-10-21,GSW,LAC,115,113
2021-10-21,ATL,DAL,113,87
2021-10-21,MIA,MIL,137,95
2021-10-22,CLE,CHA,112,123
2021-10-22,WAS,IND,135,134
2021-10-22,PHI,BKN,109,114
2021-10-22,ORL,NYK,96,121
2021-10-22,BOS,TOR,83,115
2021-10-22,HOU,OKC,124,91
2021-10-22,CHI,NOP,128,112
2021-10-22,SAC,UTA,101,110
2021-10-22,LAL,PHX,105,115
2021-10-22,DEN,SAS,102,96
2021-10-23,MIN,NOP,96,89
2021-10-23,LAC,MEM,114,120
2021-10-23,POR,PHX,134,105
2021-10-23,CHI,DET,97,82
2021-10-23,SAS,MIL,111,121
2021-10-23,CLE,ATL,101,95
2021-10-23,TOR,DAL,95,103
2021-10-23,IND,MIA,102,91
2021-10-24,HOU,BOS,97,107
2021-10-24,SAC,GSW,107,119
2021-10-24,BKN,CHA,95,111
2021-10-24,NYK,ORL,104,110
2021-10-24,OKC,PHI,103,115
2021-10-24,LAL,MEM,121,118
2021-10-25,TOR,CHI,108,111
2021-10-25,MIN,NOP,98,107
2021-10-25,ATL,DET,122,104
2021-10-25,LAC,POR,116,86
2021-10-25,MIA,ORL,107,90
2021-10-25,IND,MIL,109,119
2021-10-25,CHA,BOS,129,140
2021-10-25,BKN,WAS,104,90
2021-10-25,DEN,CLE,87,99
2021-10-26,NYK,PHI,112,99
2021-10-26,UTA,DEN,122,110
2021-10-26,DAL,HOU,116,106
2021-10-26,SAS,LAL,121,125
2021-10-26,OKC,GSW,98,106
2021-10-27,POR,MEM,116,96
2021-10-27,MIL,MIN,108,113
2021-10-27,LAC,CLE,79,92
2021-10-27,BKN,MIA,93,106
2021-10-27,TOR,IND,118,100
2021-10-27,ORL,CHA,111,120
2021-10-27,OKC,LAL,123,115
2021-10-27,BOS,WAS,107,116
2021-10-27,PHX,SAC,107,110
2021-10-27,NOP,ATL,99,102
2021-10-28,PHI,DET,110,102
2021-10-28,WAS,ATL,122,111
2021-10-28,GSW,MEM,101,104
2021-10-28,CHI,NYK,103,104
2021-10-28,DAL,SAS,104,99
2021-10-28,HOU,UTA,91,122
2021-10-29,DEN,DAL,106,75
2021-10-29,POR,LAC,111,92
2021-10-29,NOP,SAC,109,113
2021-10-29,TOR,ORL,110,109
2021-10-29,BKN,IND,105,98
2021-10-29,MIA,CHA,114,99
2021-10-29,LAL,CLE,113,101
2021-10-30,CHI,UTA,107,99
2021-10-30,MIN,DEN,91,93
2021-10-30,MEM,MIA,103,129
2021-10-30,IND,TOR,94,97
2021-10-30,GSW,OKC,103,82
2021-10-30,WAS,BOS,115,112
2021-10-30,PHX,CLE,101,92
2021-10-30,NOP,NYK,117,123
2021-10-30,DET,ORL,110,103
2021-10-30,PHI,ATL,122,94
2021-10-30,MIL,SAS,93,102
2021-10-31,LAL,HOU,95,85
2021-10-31,BKN,DET,117,91
2021-10-31,MIL,UTA,95,107
2021-10-31,CHA,POR,125,113
2021-10-31,DAL,SAC,105,99
2021-11-01,NYK,TOR,104,113
2021-11-01,MIN,ORL,97,115
2021-11-01,PHI,POR,113,103
2021-11-01,IND,SAS,131,118
2021-11-01,MEM,DEN,106,97
2021-11-01,ATL,WAS,118,111
2021-11-01,LAC,OKC,99,94
2021-11-01,BOS,CHI,114,128
2021-11-01,CHA,CLE,110,113
2021-11-02,PHX,NOP,112,100
2021-11-02,LAL,HOU,119,117
2021-11-02,DAL,MIA,110,125
2021-11-02,UTA,SAC,119,113
2021-11-02,DET,MIL,89,117
2021-11-03,ORL,BOS,79,92
2021-11-03,SAS,DAL,108,109
2021-11-03,BKN,ATL,117,108
2021-11-03,SAC,NOP,112,99
2021-11-03,MEM,DEN,108,106
2021-11-03,MIN,LAC,115,126
2021-11-03,CLE,POR,107,104
2021-11-03,WAS,TOR,100,109
2021-11-03,GSW,CHA,114,92
2021-11-03,IND,NYK,111,98
2021-11-03,PHI,CHI,103,98
2021-11-04,MIA,BOS,78,95
2021-11-04,DET,PHI,98,109
2021-11-04,ATL,UTA,98,116
2021-11-04,PHX,HOU,123,111
2021-11-04,LAL,OKC,104,107
2021-11-05,TOR,CLE,101,102
2021-11-05,GSW,NOP,126,85
2021-11-05,MIL,NYK,98,113
2021-11-05,MIN,LAC,84,104
2021-11-05,SAC,CHA,140,110
2021-11-05,POR,IND,110,106
2021-11-05,ORL,SAS,89,102
2021-11-05,DET,BKN,90,96
2021-11-05,WAS,MEM,115,87
2021-11-06,POR,LAL,105,90
2021-11-06,CHI,PHI,105,114
2021-11-06,PHX,ATL,121,117
2021-11-06,MIA,UTA,118,115
2021-11-06,DEN,HOU,95,94
2021-11-06,DAL,BOS,107,104
2021-11-07,ORL,UTA,107,100
2021-11-07,GSW,HOU,120,107
2021-11-07,OKC,SAS,99,94
2021-11-07,SAC,IND,91,94
2021-11-07,LAC,CHA,120,106
2021-11-07,WAS,MIL,101,94
2021-11-07,TOR,BKN,103,116
2021-11-07,NYK,CLE,109,126
2021-11-08,DAL,NOP,108,92
2021-11-08,LAL,CHA,126,123
2021-11-08,GSW,ATL,127,113
2021-11-08,CHI,BKN,118,95
2021-11-08,SAC,PHX,104,109
2021-11-08,DEN,MIA,113,96
2021-11-08,MEM,MIN,125,118
2021-11-08,PHI,NYK,96,103
2021-11-09,PHI,MIL,109,118
2021-11-09,LAC,POR,117,109
2021-11-09,UTA,ATL,110,98
2021-11-10,BOS,TOR,104,88
2021-11-10,HOU,DET,104,112
2021-11-10,PHX,POR,119,109
2021-11-10,GSW,MIN,123,110
2021-11-10,NOP,OKC,100,108
2021-11-10,MEM,CHA,108,118
2021-11-10,LAL,MIA,120,117
2021-11-10,ORL,BKN,90,123
2021-11-10,CHI,DAL,117,107
2021-11-10,DEN,IND,101,98
2021-11-10,SAS,SAC,136,117
2021-11-10,CLE,WAS,92,97
2021-11-10,NYK,MIL,100,112
2021-11-11,UTA,IND,100,111
2021-11-11,LAC,MIA,112,109
2021-11-11,PHI,TOR,109,115
2021-11-12,BOS,MIL,122,113
2021-11-12,CLE,DET,98,78
2021-11-12,SAS,DAL,109,123
2021-11-12,CHA,NYK,104,96
2021-11-12,OKC,SAC,105,103
2021-11-12,MEM,PHX,94,119
2021-11-12,NOP,BKN,112,120
2021-11-12,HOU,POR,92,104
2021-11-12,LAL,MIN,83,107
2021-11-12,DEN,ATL,105,96
2021-11-12,GSW,CHI,119,93
2021-11-13,TOR,DET,121,127
2021-11-13,NOP,MEM,112,101
2021-11-13,CLE,BOS,91,89
2021-11-13,LAC,MIN,129,102
2021-11-13,UTA,MIA,105,111
2021-11-13,IND,PHI,118,113
2021-11-13,ORL,WAS,92,104
2021-11-14,LAC,CHI,90,100
2021-11-14,HOU,PHX,89,115
2021-11-14,OKC,BKN,96,120
2021-11-14,CHA,GSW,106,102
2021-11-14,DEN,POR,124,95
2021-11-14,LAL,SAS,114,106
2021-11-14,ATL,MIL,120,100
2021-11-15,MIN,PHX,96,99
2021-11-15,OKC,MIA,90,103
2021-11-15,ATL,ORL,129,111
2021-11-15,NYK,IND,92,84
2021-11-15,DAL,DEN,111,101
2021-11-15,WAS,NOP,105,100
2021-11-15,POR,TOR,118,113
2021-11-15,MEM,HOU,136,102
2021-11-15,LAL,CHI,103,121
2021-11-15,CLE,BOS,92,98
2021-11-15,DET,SAC,107,129
2021-11-16,UTA,PHI,120,85
2021-11-16,LAC,SAS,106,92
2021-11-16,BKN,GSW,99,117
2021-11-17,MIL,LAL,109,84
2021-11-17,PHX,DAL,105,98
2021-11-17,MIN,SAC,107,97
2021-11-17,NYK,ORL,98,104
2021-11-17,OKC,HOU,101,89
2021-11-17,BKN,CLE,109,99
2021-11-17,DET,IND,97,89
