date,home_team,visitor_team,home_team_score,visitor_team_score
2018-10-16,BOS,PHI,105,87
2018-10-16,GSW,OKC,108,100
2018-10-17,CHA,MIL,112,113
2018-10-17,DET,BKN,103,100
2018-10-17,IND,MEM,111,83
2018-10-17,ORL,MIA,104,101
2018-10-17,NYK,ATL,126,107
2018-10-17,TOR,CLE,116,104
2018-10-17,HOU,NOP,112,131
2018-10-17,SAS,MIN,112,108
2018-10-17,SAC,UTA,117,123
2018-10-17,LAC,DEN,98,107
2018-10-17,PHX,DAL,121,100
2018-10-18,PHI,CHI,127,108
2018-10-18,WAS,MIA,112,113
2018-10-18,POR,LAL,128,119
2018-10-19,ORL,CHA,88,120
2018-10-19,BKN,NYK,107,105
2018-10-19,TOR,BOS,113,101
2018-10-19,MIN,CLE,131,123
2018-10-19,NOP,SAC,149,129
2018-10-19,MIL,IND,118,101
2018-10-19,UTA,GSW,123,124
2018-10-19,MEM,ATL,131,117
2018-10-19,LAC,OKC,108,92
2018-10-20,IND,BKN,132,112
2018-10-20,WAS,TOR,113,117
2018-10-20,NYK,BOS,101,103
2018-10-20,PHI,ORL,116,115
2018-10-20,MIA,CHA,112,113
2018-10-20,CHI,DET,116,118
2018-10-20,DAL,MIN,140,136
2018-10-20,DEN,PHX,119,91
2018-10-20,POR,SAS,121,108
2018-10-20,LAL,HOU,115,124
2018-10-21,CLE,ATL,111,133
2018-10-21,OKC,SAC,120,131
2018-10-21,DEN,GSW,100,98
2018-10-21,LAC,HOU,115,112
2018-10-22,BOS,ORL,90,93
2018-10-22,TOR,CHA,127,106
2018-10-22,MIL,NYK,124,113
2018-10-22,MIN,IND,101,91
2018-10-22,DAL,CHI,115,109
2018-10-22,UTA,MEM,84,92
2018-10-22,POR,WAS,124,125
2018-10-22,GSW,PHX,123,103
2018-10-22,LAL,SAS,142,143
2018-10-23,DET,PHI,133,132
2018-10-23,NOP,LAC,116,109
2018-10-23,DEN,SAC,126,112
2018-10-24,ATL,DAL,111,104
2018-10-24,CLE,BKN,86,102
2018-10-24,MIA,NYK,110,87
2018-10-24,TOR,MIN,112,105
2018-10-24,CHI,CHA,112,110
2018-10-24,HOU,UTA,89,100
2018-10-24,SAS,IND,96,116
2018-10-24,MIL,PHI,123,108
2018-10-24,PHX,LAL,113,131
2018-10-24,SAC,MEM,97,92
2018-10-24,GSW,WAS,144,122
2018-10-25,DET,CLE,110,103
2018-10-25,ORL,POR,114,128
2018-10-25,OKC,BOS,95,101
2018-10-25,LAL,DEN,121,114
2018-10-26,CHA,CHI,135,106
2018-10-26,NYK,GSW,100,128
2018-10-26,TOR,DAL,116,107
2018-10-26,HOU,LAC,113,133
2018-10-26,MIN,MIL,95,125
2018-10-26,NOP,BKN,117,115
2018-10-26,SAC,WAS,116,112
2018-10-27,DET,BOS,89,109
2018-10-27,NOP,UTA,111,132
2018-10-27,CLE,IND,107,119
2018-10-27,ATL,CHI,85,97
2018-10-27,PHI,CHA,105,103
2018-10-27,MIA,POR,120,111
2018-10-27,MEM,PHX,117,96
2018-10-27,MIL,ORL,113,91
2018-10-27,SAS,LAL,110,106
2018-10-28,DAL,UTA,104,113
2018-10-28,BKN,GSW,114,120
2018-10-28,OKC,PHX,117,110
2018-10-28,LAC,WAS,136,104
2018-10-29,IND,POR,93,103
2018-10-29,PHI,ATL,113,92
2018-10-29,MIA,SAC,113,123
2018-10-29,NYK,BKN,115,96
2018-10-29,CHI,GSW,124,149
2018-10-29,MIL,TOR,124,109
2018-10-29,MIN,LAL,124,120
2018-10-29,SAS,DAL,113,108
2018-10-29,DEN,NOP,116,111
2018-10-30,CHA,MIA,125,113
2018-10-30,CLE,ATL,136,114
2018-10-30,ORL,SAC,99,107
2018-10-30,BOS,DET,108,105
2018-10-30,TOR,PHI,129,112
2018-10-30,HOU,POR,85,104
2018-10-30,MEM,WAS,107,95
2018-10-30,OKC,LAC,128,110
2018-10-31,BKN,DET,120,119
2018-10-31,NYK,IND,101,107
2018-10-31,CHI,DEN,107,108
2018-10-31,MIN,UTA,128,125
2018-10-31,GSW,NOP,131,121
2018-10-31,LAL,DAL,114,113
2018-10-31,PHX,SAS,90,120
2018-11-01,CHA,OKC,107,111
2018-11-01,CLE,DEN,91,110
2018-11-01,PHI,LAC,122,113
2018-11-01,ATL,SAC,115,146
2018-11-01,BOS,MIL,117,113
2018-11-01,POR,NOP,132,119
2018-11-02,WAS,OKC,111,134
2018-11-02,ORL,LAC,95,120
2018-11-02,BKN,HOU,111,119
2018-11-02,CHI,IND,105,107
2018-11-02,DAL,NYK,106,118
2018-11-02,UTA,MEM,100,110
2018-11-02,PHX,TOR,98,107
2018-11-02,GSW,MIN,116,99
2018-11-03,PHI,DET,109,99
2018-11-03,CHA,CLE,126,94
2018-11-03,IND,BOS,102,101
2018-11-03,ATL,MIA,123,118
2018-11-03,SAS,NOP,109,95
2018-11-03,CHI,HOU,88,96
2018-11-03,DEN,UTA,103,88
2018-11-03,POR,LAL,110,114
2018-11-04,MIL,SAC,144,109
2018-11-04,BKN,PHI,122,97
2018-11-04,WAS,NYK,108,95
2018-11-04,SAS,ORL,110,117
2018-11-04,PHX,MEM,102,100
2018-11-04,LAL,TOR,107,121
2018-11-04,POR,MIN,111,81
2018-11-05,IND,HOU,94,98
2018-11-05,NYK,CHI,115,116
2018-11-05,OKC,NOP,122,116
2018-11-05,DET,MIA,115,120
2018-11-05,LAC,MIN,120,109
2018-11-05,ORL,CLE,102,100
2018-11-05,DEN,BOS,115,107
2018-11-05,UTA,TOR,111,124
2018-11-05,GSW,MEM,117,101
2018-11-06,POR,MIL,118,103
2018-11-06,PHX,BKN,82,104
2018-11-06,CHA,ATL,113,102
2018-11-06,DAL,WAS,119,100
2018-11-07,CLE,OKC,86,95
2018-11-07,UTA,DAL,117,102
2018-11-07,SAC,TOR,105,114
2018-11-07,LAL,MIN,114,110
2018-11-07,ATL,NYK,107,112
2018-11-07,NOP,CHI,107,98
2018-11-07,MEM,DEN,89,87
2018-11-07,ORL,DET,96,103
2018-11-07,MIA,SAS,95,88
2018-11-07,IND,PHI,94,100
