date,home_team,visitor_team,home_team_score,visitor_team_score
2023-10-24,DEN,LAL,119,107
2023-10-24,GSW,PHX,104,108
2023-10-25,CHA,ATL,116,110
2023-10-25,IND,WAS,143,120
2023-10-25,NYK,BOS,104,108
2023-10-25,ORL,HOU,116,86
2023-10-25,BKN,CLE,113,114
2023-10-25,MIA,DET,103,102
2023-10-25,TOR,MIN,97,94
2023-10-25,CHI,OKC,104,124
2023-10-25,MEM,NOP,104,111
2023-10-25,UTA,SAC,114,130
2023-10-25,SAS,DAL,119,126
2023-10-25,LAC,POR,123,111
2023-10-26,MIL,PHI,118,117
2023-10-26,LAL,PHX,100,95
2023-10-27,CHA,DET,99,111
2023-10-27,MEM,DEN,104,108
2023-10-27,ATL,NYK,120,126
2023-10-27,BOS,MIA,119,111
2023-10-27,CLE,OKC,105,108
2023-10-27,CHI,TOR,104,103
2023-10-27,SAS,HOU,126,122
2023-10-27,DAL,BKN,125,120
2023-10-27,UTA,LAC,120,118
2023-10-27,POR,ORL,97,102
2023-10-27,SAC,GSW,114,122
2023-10-28,DET,CHI,118,102
2023-10-28,WAS,MEM,113,106
2023-10-28,NOP,NYK,96,87
2023-10-28,CLE,IND,113,125
2023-10-28,TOR,PHI,107,114
2023-10-28,MIN,MIA,106,90
2023-10-28,PHX,UTA,126,104
2023-10-29,OKC,DEN,95,128
2023-10-29,HOU,GSW,95,106
2023-10-29,MIL,ATL,110,127
2023-10-29,PHI,POR,126,98
2023-10-29,LAC,SAS,123,83
2023-10-29,SAC,LAL,132,127
2023-10-30,CHA,BKN,121,133
2023-10-30,IND,CHI,105,112
2023-10-30,WAS,BOS,107,126
2023-10-30,ATL,MIN,127,113
2023-10-30,TOR,POR,91,99
2023-10-30,MEM,DAL,110,125
2023-10-30,MIL,MIA,122,114
2023-10-30,NOP,GSW,102,130
2023-10-30,OKC,DET,124,112
2023-10-30,DEN,UTA,110,102
2023-10-30,LAL,ORL,106,103
2023-10-31,CLE,NYK,91,109
2023-10-31,PHX,SAS,114,115
2023-10-31,LAC,ORL,118,102
2023-11-01,OKC,NOP,106,110
2023-11-01,HOU,CHA,128,119
2023-11-01,MIN,DEN,110,89
2023-11-01,DAL,CHI,114,105
2023-11-01,UTA,MEM,133,109
2023-11-01,GSW,SAC,102,101
2023-11-01,LAL,LAC,130,125
2023-11-01,DET,POR,101,110
2023-11-01,TOR,MIL,130,111
2023-11-01,ATL,WAS,130,121
2023-11-01,BOS,IND,155,104
2023-11-01,MIA,BKN,105,109
2023-11-01,NYK,CLE,89,95
2023-11-02,PHI,TOR,114,99
2023-11-02,NOP,DET,125,116
2023-11-02,UTA,ORL,113,115
2023-11-02,PHX,SAS,121,132
2023-11-03,IND,CLE,121,116
2023-11-03,MIL,NYK,110,105
2023-11-03,MIA,WAS,121,114
2023-11-03,CHI,BKN,107,109
2023-11-03,OKC,GSW,139,141
2023-11-03,DEN,DAL,125,114
2023-11-03,POR,MEM,115,113
