date,home_team,visitor_team,home_team_score,visitor_team_score
2017-10-17,GSW,HOU,121,122
2017-10-17,CLE,BOS,102,99
2017-10-18,DET,CHA,102,90
2017-10-18,IND,BKN,140,131
2017-10-18,WAS,PHI,120,115
2017-10-18,UTA,DEN,106,96
2017-10-18,ORL,MIA,116,109
2017-10-18,BOS,MIL,100,108
2017-10-18,SAS,MIN,107,99
2017-10-18,MEM,NOP,103,91
2017-10-18,PHX,POR,76,124
2017-10-18,DAL,ATL,111,117
2017-10-18,SAC,HOU,100,105
2017-10-19,TOR,CHI,117,100
2017-10-19,OKC,NYK,105,84
2017-10-19,LAL,LAC,92,108
2017-10-20,MIL,CLE,97,116
2017-10-20,NOP,GSW,120,128
2017-10-20,MIN,UTA,100,97
2017-10-20,BKN,ORL,126,121
2017-10-20,DAL,SAC,88,93
2017-10-20,PHX,LAL,130,132
2017-10-20,WAS,DET,115,111
2017-10-20,PHI,BOS,92,102
2017-10-20,IND,POR,96,114
2017-10-20,CHA,ATL,109,91
2017-10-21,CLE,ORL,93,114
2017-10-21,LAC,PHX,130,88
2017-10-21,TOR,PHI,128,94
2017-10-21,CHI,SAS,77,87
2017-10-21,UTA,OKC,96,87
2017-10-21,MEM,GSW,111,101
2017-10-21,HOU,DAL,107,91
2017-10-21,MIL,POR,113,110
2017-10-21,DEN,SAC,96,79
2017-10-21,MIA,IND,112,108
2017-10-21,NYK,DET,107,111
2017-10-22,OKC,MIN,113,115
2017-10-22,BKN,ATL,116,104
2017-10-22,LAL,NOP,112,119
2017-10-23,DET,PHI,86,97
2017-10-23,SAS,TOR,101,97
2017-10-23,HOU,MEM,90,98
2017-10-23,MIL,CHA,103,94
2017-10-23,DEN,WAS,104,109
2017-10-23,DAL,GSW,103,133
2017-10-23,PHX,SAC,117,115
2017-10-23,MIA,ATL,104,93
2017-10-24,ORL,BKN,125,121
2017-10-24,CLE,CHI,119,112
2017-10-24,MIN,IND,107,130
2017-10-24,BOS,NYK,110,89
2017-10-24,LAC,UTA,102,84
2017-10-24,POR,NOP,103,93
2017-10-25,DET,MIN,122,101
2017-10-25,LAL,WAS,102,99
2017-10-25,OKC,IND,114,96
2017-10-25,MIA,SAS,100,117
2017-10-25,CHA,DEN,110,93
2017-10-25,GSW,TOR,117,112
2017-10-25,BKN,CLE,112,107
2017-10-25,PHI,HOU,104,105
2017-10-25,DAL,MEM,103,94
