date,home_team,visitor_team,home_team_score,visitor_team_score
2016-10-25,CLE,NYK,117,88
2016-10-25,GSW,SAS,100,129
2016-10-25,POR,UTA,113,104
2016-10-26,IND,DAL,130,121
2016-10-26,TOR,DET,109,91
2016-10-26,NOP,DEN,102,107
2016-10-26,BOS,BKN,122,117
2016-10-26,MIL,CHA,96,107
2016-10-26,PHI,OKC,97,103
2016-10-26,LAL,HOU,120,114
2016-10-26,ORL,MIA,96,108
2016-10-26,MEM,MIN,102,98
2016-10-26,PHX,SAC,94,113
2016-10-27,ATL,WAS,114,99
2016-10-27,CHI,BOS,105,99
2016-10-27,SAC,SAS,94,102
2016-10-27,POR,LAC,106,114
2016-10-28,DAL,HOU,98,106
2016-10-28,NOP,GSW,114,122
2016-10-28,OKC,PHX,113,110
2016-10-28,DET,ORL,108,82
2016-10-28,TOR,CLE,91,94
2016-10-28,BKN,IND,103,94
2016-10-28,MIA,CHA,91,97
2016-10-28,UTA,LAL,96,89
2016-10-29,SAC,MIN,106,103
2016-10-29,NYK,MEM,111,104
2016-10-29,MIL,BKN,110,108
2016-10-29,DEN,POR,113,115
2016-10-29,SAS,NOP,98,79
2016-10-29,CHI,IND,118,101
2016-10-29,CLE,ORL,105,99
2016-10-29,CHA,BOS,98,104
2016-10-29,PHI,ATL,72,104
2016-10-30,DET,MIL,98,83
2016-10-30,MEM,WAS,112,103
2016-10-30,HOU,DAL,93,92
2016-10-30,OKC,LAL,113,96
2016-10-30,LAC,UTA,88,75
2016-10-30,PHX,GSW,100,106
2016-10-30,MIA,SAS,99,106
2016-10-31,ATL,SAC,106,95
2016-10-31,LAC,PHX,116,98
2016-10-31,TOR,DEN,105,102
2016-10-31,BKN,CHI,88,118
2016-11-01,CLE,HOU,128,120
2016-11-01,IND,LAL,115,108
2016-11-01,MIA,SAC,108,96
2016-11-01,DET,NYK,102,89
2016-11-01,PHI,ORL,101,103
2016-11-01,MIN,MEM,116,80
2016-11-01,NOP,MIL,113,117
2016-11-01,POR,GSW,104,127
2016-11-01,SAS,UTA,91,106
2016-11-02,PHX,POR,118,115
2016-11-02,UTA,DAL,97,81
2016-11-02,MEM,NOP,89,83
2016-11-02,WAS,TOR,103,113
2016-11-02,LAC,OKC,83,85
2016-11-02,NYK,HOU,99,118
2016-11-02,ATL,LAL,116,123
2016-11-02,BOS,CHI,107,100
2016-11-02,BKN,DET,109,101
2016-11-02,CHA,PHI,109,93
2016-11-03,GSW,OKC,122,96
2016-11-03,MIL,IND,125,107
2016-11-03,CLE,BOS,128,122
2016-11-03,MIN,DEN,99,102
2016-11-03,ORL,SAC,102,94
2016-11-04,TOR,MIA,96,87
2016-11-04,LAL,GSW,117,97
2016-11-04,DAL,POR,95,105
2016-11-04,MEM,LAC,88,99
2016-11-04,WAS,ATL,95,92
2016-11-04,UTA,SAS,86,100
2016-11-04,NOP,PHX,111,112
2016-11-04,CHI,NYK,104,117
2016-11-04,BKN,CHA,95,99
2016-11-05,ATL,HOU,112,97
2016-11-05,DET,DEN,103,86
2016-11-05,ORL,WAS,88,86
2016-11-05,IND,CHI,111,94
2016-11-05,PHI,CLE,101,102
2016-11-05,OKC,MIN,112,92
2016-11-05,SAS,LAC,92,116
2016-11-05,MIL,SAC,117,91
2016-11-06,BOS,DEN,107,123
2016-11-06,NYK,UTA,109,114
2016-11-06,TOR,SAC,91,96
2016-11-06,LAL,PHX,119,108
2016-11-06,MEM,POR,94,100
2016-11-06,DAL,MIL,86,75
2016-11-07,GSW,NOP,116,106
2016-11-07,OKC,MIA,97,85
2016-11-07,LAC,DET,114,82
2016-11-07,WAS,HOU,106,114
2016-11-07,PHI,UTA,84,109
2016-11-07,CHA,IND,122,100
2016-11-07,CHI,ORL,112,80
2016-11-08,LAL,DAL,97,109
2016-11-08,POR,PHX,124,121
2016-11-08,CLE,ATL,106,110
2016-11-08,SAC,NOP,102,94
2016-11-08,MEM,DEN,108,107
2016-11-08,BKN,MIN,119,110
2016-11-09,IND,PHI,122,115
2016-11-09,WAS,BOS,118,93
2016-11-09,LAC,POR,111,80
2016-11-09,OKC,TOR,102,112
